Họ và tên,Thời gian quét
Nguyễn Văn An,01/06/2026 07:55:12
Nguyễn Văn An,01/06/2026 12:05:00
Nguyễn Văn An,01/06/2026 13:02:00
Nguyễn Văn An,01/06/2026 17:05:11
Nguyễn Văn An,02/06/2026 07:58:32
Nguyễn Văn An,02/06/2026 12:02:00
Nguyễn Văn An,02/06/2026 13:00:15
Nguyễn Văn An,02/06/2026 19:15:42
Nguyễn Văn An,03/06/2026 08:15:00
Nguyễn Văn An,03/06/2026 12:05:00
Nguyễn Văn An,03/06/2026 13:02:00
Nguyễn Văn An,03/06/2026 16:20:00
Nguyễn Văn An,04/06/2026 08:00:00
Nguyễn Văn An,04/06/2026 12:30:00
Trần Thị Bình,01/06/2026 08:25:00
Trần Thị Bình,01/06/2026 12:00:00
Trần Thị Bình,01/06/2026 13:00:00
Trần Thị Bình,01/06/2026 17:35:00
Trần Thị Bình,02/06/2026 08:30:00
Trần Thị Bình,02/06/2026 12:00:00
Trần Thị Bình,02/06/2026 13:00:00
Trần Thị Bình,02/06/2026 19:30:00
