Date,Door,Device ID,Device,User Group,User,Event
2026-07-01 08:04:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,1(Nguyen Van An),1:N authentication succeeded (Face)
2026-07-01 17:15:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,1(Nguyen Van An),1:N authentication succeeded (Face)
2026-07-02 08:05:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,1(Nguyen Van An),1:N authentication succeeded (Face)
2026-07-02 17:18:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,1(Nguyen Van An),1:N authentication succeeded (Face)
2026-07-03 08:10:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,1(Nguyen Van An),1:N authentication succeeded (Face)
2026-07-03 17:11:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,1(Nguyen Van An),1:N authentication succeeded (Face)
2026-07-06 08:12:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,1(Nguyen Van An),1:N authentication succeeded (Face)
2026-07-06 17:12:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,1(Nguyen Van An),1:N authentication succeeded (Face)
2026-07-07 07:57:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,1(Nguyen Van An),1:N authentication succeeded (Face)
2026-07-07 17:27:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,1(Nguyen Van An),1:N authentication succeeded (Face)
2026-07-08 08:05:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,1(Nguyen Van An),1:N authentication succeeded (Face)
2026-07-08 17:08:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,1(Nguyen Van An),1:N authentication succeeded (Face)
2026-07-09 08:07:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,1(Nguyen Van An),1:N authentication succeeded (Face)
2026-07-09 17:14:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,1(Nguyen Van An),1:N authentication succeeded (Face)
2026-07-10 07:58:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,1(Nguyen Van An),1:N authentication succeeded (Face)
