Date,Door,Device ID,Device,User Group,User,Event
2026-07-01 07:56:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-01 17:35:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-02 08:05:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-02 17:09:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-03 08:00:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-03 17:30:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-06 07:56:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-06 17:06:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-07 07:51:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-07 17:16:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-08 08:16:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-08 17:14:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-09 07:56:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-09 17:08:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-10 08:13:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-10 17:33:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-13 07:59:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-13 17:30:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-14 07:55:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-14 17:23:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-15 07:58:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-15 17:21:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-16 07:56:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-16 17:33:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-17 08:09:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-17 17:16:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-20 07:59:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-20 17:15:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-21 08:14:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-21 17:11:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-22 08:15:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-22 17:13:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-23 07:57:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-23 17:34:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-24 08:19:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-24 17:14:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-27 08:07:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-27 17:30:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-28 08:18:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-28 17:10:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-29 07:55:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-29 17:09:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-30 07:59:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-30 17:25:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-31 08:02:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
2026-07-31 17:05:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,3(Le Hoang Long),1:N authentication succeeded (Face)
