Date,Door,Device ID,Device,User Group,User,Event
2026-07-01 07:59:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-01 17:35:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-02 07:52:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-02 17:12:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-03 07:58:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-03 17:21:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-06 07:52:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-06 17:30:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-07 07:50:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-07 17:11:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-08 07:53:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-08 17:23:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-09 07:57:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-09 17:28:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-10 07:56:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-10 17:22:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-13 08:01:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-13 17:11:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-14 07:54:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-14 17:06:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-15 08:16:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-15 17:08:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-16 07:55:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-16 17:14:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-17 07:57:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-17 17:14:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-20 08:08:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-20 17:27:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-21 08:12:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-21 17:13:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-22 07:58:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-22 17:23:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-23 07:53:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-23 17:16:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-24 08:16:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-24 17:27:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-27 08:08:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-27 17:13:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-28 08:14:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-28 17:14:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-29 08:03:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-29 17:16:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-30 07:56:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-30 17:24:00,,538218377,MO 6FL MAIN DOOR - OUT,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
2026-07-31 08:15:00,,538218382,MO 6FL MAIN DOOR IN 1,OSMale,4(Pham Minh Duc),1:N authentication succeeded (Face)
